2016-07-01 16:45:51.8381 | DEBUG | Preloaded all referenced assemblies with System.Web.Compilation.BuildManager.GetReferencedAssemblies() | 
2016-07-01 16:45:53.8211 | DEBUG | Discovering IClientScript's in 'C:\Windows\Microsoft.NET\Framework\v4.0.30319\Temporary ASP.NET Files\root\bb07f263\e24c5d76' and all sub directories. | 
2016-07-01 16:45:53.8211 | WARN | Failed to load type when getting types from assembly 'Microsoft.Practices.Unity, Version=3.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35' | System.IO.FileNotFoundException--未能加载文件或程序集“Microsoft.Practices.ServiceLocation, Version=1.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35”或它的某一个依赖项。系统找不到指定的文件。--
2016-07-01 16:45:53.8411 | DEBUG | Discovered IClientScript of type 'Glimpse.Core.ClientScript.Client' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IClientScript of type 'Glimpse.Core.ClientScript.Data' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IClientScript of type 'Glimpse.Core.ClientScript.Metadata' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovering IInspector's in 'C:\Windows\Microsoft.NET\Framework\v4.0.30319\Temporary ASP.NET Files\root\bb07f263\e24c5d76' and all sub directories. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IInspector of type 'Glimpse.Ado.Inspector.AdoInspector' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IInspector of type 'Glimpse.AspNet.Inspector.RoutesInspector' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IInspector of type 'Glimpse.Core.Inspector.TraceInspector' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IInspector of type 'Glimpse.EF.Inspector.EntityFrameworkInspector' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IInspector of type 'Glimpse.Mvc.Inspector.DependencyInjectionInspector' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IInspector of type 'Glimpse.Mvc.Inspector.ExecutionInspector' and added it to collection. | 
